nombre_indicador,SpatialDimType,SpatialDim,SpatialDim_es,TimeDim,Numeric_value,Porcentaje_embarazo_juvenil
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2021,33.11,3.311
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2022,32.262,3.2262
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2023,31.207,3.1207000000000003
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2024,30.175,3.0175
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BHS,Bahamas,1995,67.363,6.7363
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BHS,Bahamas,1996,63.053,6.3053
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BHS,Bahamas,1997,60.951,6.0951
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BHS,Bahamas,1998,55.841,5.5841
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BHS,Bahamas,1999,49.427,4.9427
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BHS,Bahamas,2000,47.804,4.7804
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BHS,Bahamas,2001,47.952,4.7951999999999995
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BHS,Bahamas,2002,46.222,4.6222
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BHS,Bahamas,2003,44.582,4.4582
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BHS,Bahamas,2004,43.987,4.3987
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BHS,Bahamas,2005,44.139,4.4139
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BHS,Bahamas,2006,37.177,3.7177
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BHS,Bahamas,2007,39.172,3.9172
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BHS,Bahamas,2008,40.785,4.0785
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BHS,Bahamas,2009,38.38,3.838
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BHS,Bahamas,2010,35.993,3.5993000000000004
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BHS,Bahamas,2011,33.855,3.3854999999999995
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,BHS,Bahamas,2012,34.694,3.4694000000000003
